merge_id,section,variant,canonical,rule,status,n_variant,n_canonical,detail,decision,reason
habitats: Fluß -> Fluss,habitats,Fluß,Fluss,orthographic,auto,9,22,,,
habitats: Flussufer -> Flußufer,habitats,Flussufer,Flußufer,orthographic,auto,1,2,,,
habitats: Ahorn allee -> Ahorn-Allee,habitats,Ahorn allee,Ahorn-Allee,orthographic,auto,1,10,,,
"habitats: alte, hohe Bäume -> alte hohe Bäume",habitats,"alte, hohe Bäume",alte hohe Bäume,orthographic,auto,1,1,,,
habitats: Beim Haus -> beim Haus,habitats,Beim Haus,beim Haus,orthographic,auto,2,28,,,
habitats: Wb -> WB,habitats,Wb,WB,orthographic,auto,17,21,,,
habitats: Wb. -> WB,habitats,Wb.,WB,orthographic,auto,7,21,,,
habitats: Ft. -> Ft,habitats,Ft.,Ft,orthographic,auto,8,10,,,
habitats: FT -> Ft,habitats,FT,Ft,orthographic,auto,4,10,,,
habitats: Ahorn-Alleen -> Ahorn-Allee,habitats,Ahorn-Alleen,Ahorn-Allee,similar,candidate,2,10,similarity 0.96,y,plural; hyphen variant
habitats: Ahornallee -> Ahorn-Allee,habitats,Ahornallee,Ahorn-Allee,similar,candidate,6,10,similarity 0.95,y,hyphen variant
habitats: Ahorn-Alleen -> Ahornallee,habitats,Ahorn-Alleen,Ahornallee,similar,candidate,2,6,similarity 0.91,n,superseded; another canonical accepted
habitats: Ahornbäum -> Ahorn-Bäume,habitats,Ahornbäum,Ahorn-Bäume,similar,candidate,1,2,similarity 0.91,n,superseded; another canonical accepted
habitats: Ahorn-Bäume -> Ahornbäume,habitats,Ahorn-Bäume,Ahornbäume,similar,candidate,2,103,similarity 0.96,y,hyphen variant
habitats: Ahorn-Bäume -> Ahornbaum,habitats,Ahorn-Bäume,Ahornbaum,similar,candidate,2,4,similarity 0.86,n,superseded; another canonical accepted
habitats: Ahornbaumen -> Ahorn-Bäume,habitats,Ahornbaumen,Ahorn-Bäume,similar,candidate,1,2,similarity 0.87,n,superseded; another canonical accepted
habitats: Ahornbeäume -> Ahorn-Bäume,habitats,Ahornbeäume,Ahorn-Bäume,similar,candidate,1,2,similarity 0.92,n,superseded; another canonical accepted
